GR-REV-L	pattern
AT1G04880-Binding-motif	Motif
AT1G09030-binding-motif	Motif
AT1G72050-binding-motif	Motif
AT3G61150-binding-motif	Motif
AT5G17300-binding-motif	Motif
AT5G56930-binding-motif	Motif
AT5G60910-binding-motif	Motif
AT5G65310-binding-motif	Motif
At1g01060-binding-motif	Motif
At1g52880-binding-motif	Motif
At1g68320-binding-motif	Motif
At2g23290-binding-motif	Motif
At2g31460-Binding-motif	Motif
At3g15500-binding-motif	Motif
At3g55370-binding-motif	Motif
Circadian-clock-binding-motif	Motif
General-ARID-Binding-motif	Motif
General-AUX-IAA-binding-motif	Motif
General-C2C2-DOF-binding-motif	Motif
General-Homeobox-binding-motif	Motif
ZF-HD-binding-motif	Motif
regulation of meristem growth	GO
regulation of plant-type hypersensitive response	GO
signal transduction	GO
positive regulation of flavonoid biosynthetic process	GO
"regulation of transcription, DNA-templated"	GO
sequence-specific DNA binding	GO
response to salicylic acid	GO
protein targeting to membrane	GO
amino acid transport	GO
plasma membrane	GO
lateral root development	GO
oligopeptide transport	GO
nucleus	GO
sequence-specific DNA binding transcription factor activity	GO
response to bacterium	GO
protein binding	GO
response to abscisic acid	GO
leaf shaping	GO
cell differentiation	GO
anchored component of membrane	GO
AT5G65310	Transcription Factor
AT4G14560	Transcription Factor
AT1G64620	Transcription Factor
AT5G15150	Transcription Factor
AT4G40060	Transcription Factor
AT5G53980	Transcription Factor
AT5G06710	Transcription Factor
AT5G25220	Transcription Factor
AT2G22430	Transcription Factor
AT3G01470	Transcription Factor
AT5G60690	Transcription Factor
AT2G46680	Transcription Factor
AT2G18350	Transcription Factor
