ID	Name	GR-KAN	GR-REV	GR-STM	GR-TINY
AT1G01720	NAC002	2.2944E+01	1.9066E+01	1.5431E+01	3.6593E+01
AT1G02380	AT1G02380	1.1100E+00	9.5363E-01	1.6600E+00	3.6166E+00
AT1G02400	GA2OX6	1.7147E+00	1.6004E+00	2.0509E+00	6.3097E+00
AT1G02660	AT1G02660	2.1531E+00	1.7323E+00	1.8540E+00	3.0566E+00
AT1G03020	GRXS1	5.9140E+00	5.6904E+00	4.7620E+00	6.9126E+00
AT1G09950	RAS1	7.3878E-01	4.8638E-01	1.6239E+00	3.3999E+01
AT1G15010	AT1G15010	4.0197E+00	4.5786E+00	2.1444E+00	4.9388E+00
AT1G16850	AT1G16850	2.3072E+00	2.8101E+00	2.2001E+00	1.0560E+01
AT1G18400	BEE1	1.2880E+01	1.2981E+01	2.4955E+01	2.4137E+01
AT1G19530	AT1G19530	7.6247E+00	5.9748E+00	6.4677E+00	2.0111E+01
AT1G20440	COR47	1.9375E+02	2.1009E+02	1.7033E+02	3.9694E+02
AT1G20450	ERD10	7.3083E+01	8.7279E+01	6.7986E+01	3.8931E+02
AT1G21830	AT1G21830	9.2223E+00	1.2891E+01	1.3690E+01	8.8273E+00
AT1G21910	ERF012	3.9806E+00	6.4065E+00	7.2981E+00	3.5996E+00
AT1G25400	AT1G25400	3.9506E+00	4.9076E+00	4.3012E+00	5.5182E+00
AT1G27910	PUB45	1.4642E+00	1.7656E+00	1.5956E+00	9.3352E+00
AT1G28660	AT1G28660	4.9056E+01	4.6648E+01	4.8967E+01	4.0754E+01
AT1G29640	AT1G29640	7.8940E+00	1.8150E+01	6.0936E+00	6.1870E+00
AT1G31320	LBD4	1.8473E+00	2.2783E+00	5.8024E+00	8.3512E+00
AT1G32540	LOL1	1.0562E+01	8.0335E+00	2.1164E+01	1.2472E+01
AT1G35140	EXL1	3.5234E+00	4.3224E+00	4.0070E+00	4.6413E+00
AT1G47600	TGG4	4.4819E+00	4.7078E+00	5.7681E+00	4.5381E+00
AT1G49200	ATL75	2.7431E+00	7.9376E+00	3.5559E+00	4.3941E+00
AT1G49620	KRP7	3.8229E+00	5.7438E+00	2.7969E+00	3.4767E+00
AT1G51090	AT1G51090	1.0947E+00	1.1790E+00	5.5656E-01	6.5430E+00
AT1G51470	TGG5	2.9727E+00	3.4838E+00	4.2854E+00	3.1437E+00
AT1G53170	ERF8	2.3551E+01	1.4254E+01	1.5536E+01	5.6595E+01
AT1G56660	AT1G56660	1.1089E+01	1.0257E+01	1.0381E+01	1.0424E+01
AT1G61255	AT1G61255	9.6200E-01	2.6955E+00	2.2331E+00	4.1382E+00
AT1G62360	STM	3.2670E+00	2.7161E+00	1.3533E+02	2.3044E+00
AT1G62510	AT1G62510	3.3342E+01	2.1463E+01	4.2511E+01	2.8177E+01
AT1G64380	ERF061	1.0256E+00	6.6200E-01	6.6300E-01	2.1807E+00
AT1G65390	PP2A5	3.3587E+00	2.5009E+00	2.1448E+00	2.2787E+00
AT1G66090	AT1G66090	2.0904E+00	2.5543E+00	1.9713E+00	2.2368E+00
AT1G66160	PUB20	4.2124E+00	5.5044E+00	4.9104E+00	7.1207E+00
AT1G68470	AT1G68470	1.1928E+00	1.0741E+00	1.4544E+00	5.7651E+00
AT1G68500	AT1G68500	5.2612E+00	1.2787E+01	5.8570E+00	3.7578E+01
AT1G70985	AT1G70985	2.5236E+01	4.5151E+01	2.0209E+01	1.0046E+01
AT1G72416	AT1G72416	2.0376E+01	2.1654E+01	3.1311E+01	2.3229E+01
AT1G72520	LOX4	8.9144E-01	3.0428E+00	1.1019E+00	2.4966E+00
AT1G72910	AT1G72910	5.8493E+00	6.7784E+00	4.8637E+00	2.9081E+00
AT1G73500	MKK9	5.6362E+00	1.0859E+01	8.0106E+00	1.2171E+01
AT1G74500	PRE3	1.9686E+01	1.1911E+01	1.5649E+01	5.4537E+00
AT1G76580	SPL16	2.1170E+00	2.0074E+00	2.2271E+00	6.7422E+00
AT1G76590	AT1G76590	1.5844E+00	1.8369E+00	3.4618E+00	4.1516E+00
AT1G77640	ERF013	4.4388E+00	4.5014E+00	7.8677E+00	4.5397E+00
AT1G78070	AT1G78070	7.0427E+00	3.4340E+00	4.8094E+00	3.4680E+01
AT1G80120	AT1G80120	9.3878E-01	1.0156E+00	1.0322E+00	3.7902E+00
AT2G02680	AT2G02680	1.5987E+00	1.8106E+00	1.4294E+00	2.0122E+00
AT2G05440	ATGRP9	2.4144E+01	4.3740E+01	2.9965E+01	1.5746E+02
AT2G14610	PR1	3.2192E+00	1.1591E+01	6.1606E+00	5.5111E-01
AT2G17280	PGM	3.8819E+00	5.7340E+00	4.5348E+00	8.9324E+00
AT2G17740	AT2G17740	1.1426E+00	2.4884E+00	3.9689E+00	6.4211E-01
AT2G18969	AT2G18969	1.7468E+00	7.8774E+00	1.2524E+00	2.3064E+00
AT2G23130	AGP17	6.5948E+01	9.8403E+01	9.4100E+01	6.4382E+01
AT2G23340	ERF008	5.3410E+00	7.7305E+00	7.1961E+00	2.6483E+01
AT2G23430	KRP1	5.3960E+00	7.8414E+00	6.4578E+00	7.3636E+00
AT2G24600	AT2G24600	4.5630E+00	6.4863E+00	3.9349E+00	7.0930E+00
AT2G28500	LBD11	6.8211E-01	2.3721E+00	1.4593E+00	5.0062E+00
AT2G28550	RAP2-7	6.1521E+00	8.1716E+00	1.0580E+01	8.9991E+00
AT2G28930	APK1B	6.9967E+00	9.3578E+00	8.2742E+00	2.2341E+01
AT2G30040	MAPKKK14	5.7346E+00	5.2706E+00	7.3611E+00	1.5542E+01
AT2G32100	OFP16	1.6158E+00	5.6828E+00	2.0736E+00	2.3496E+00
AT2G32510	MAPKKK17	1.2513E+00	9.8188E-01	8.6222E-01	2.4691E+00
