ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT1G01010	0.259	0.186	0.332	0.035	2.675	7.509	8.5472e-07	NAC001
AT1G01040	1.211	1.019	1.404	0.091	0.572	13.307	2.0381e-10	DCL1
AT1G01050	0.03	0.016	0.045	0.007	22.793	4.403	0.00038878	PPA1
AT1G01060	0.366	0.228	0.504	0.066	1.893	5.587	3.2721e-05	LHY
AT1G01080	0.319	0.203	0.435	0.055	2.173	5.809	2.0951e-05	AT1G01080
AT1G01090	0.073	0.052	0.094	0.01	9.488	7.267	1.3174e-06	PDH-E1-ALPHA
AT1G01100	0.058	0.042	0.075	0.008	11.923	7.433	9.784e-07	RPP1A
AT1G01140	0.079	0.047	0.111	0.015	8.789	5.244	6.6014e-05	CIPK9
AT1G01160	0.109	0.074	0.144	0.017	6.354	6.508	5.3611e-06	GIF2
AT1G01170	0.031	0.017	0.046	0.007	22.171	4.604	0.00025273	AT1G01170
AT1G01220	0.459	0.343	0.575	0.055	1.51	8.371	1.9571e-07	FKGP
AT1G01225	0.578	0.391	0.764	0.088	1.2	6.545	4.9973e-06	AT1G01225
AT1G01230	0.082	0.054	0.11	0.013	8.49	6.136	1.0979e-05	AT1G01230
AT1G01240	0.053	0.029	0.076	0.011	13.176	4.711	0.00020142	AT1G01240
AT1G01260	0.607	0.441	0.773	0.079	1.142	7.711	6.0037e-07	BHLH13
AT1G01290	0.154	0.106	0.201	0.023	4.511	6.782	3.202e-06	CNX3
AT1G01300	0.363	0.264	0.462	0.047	1.91	7.725	5.8556e-07	AT1G01300
AT1G01320	0.503	0.329	0.677	0.082	1.379	6.102	1.1734e-05	AT1G01320
AT1G01340	0.201	0.142	0.26	0.028	3.448	7.243	1.3737e-06	CNGC10
AT1G01360	0.065	0	0.13	0.031	10.665	2.126	0.04942	PYL9
AT1G01370	0.124	0.089	0.16	0.017	5.573	7.414	1.0125e-06	HTR12
AT1G01440	0.302	0.173	0.431	0.061	2.298	4.931	0.00012651	AT1G01440
AT1G01470	0.123	0.094	0.152	0.014	5.64	8.973	7.4e-08	LEA14
AT1G01490	0.23	0.184	0.277	0.022	3.008	10.364	9.1471e-09	AT1G01490
AT1G01500	0.488	0.371	0.605	0.055	1.42	8.797	9.7834e-08	AT1G01500
AT1G01510	0.263	0.202	0.323	0.029	2.638	9.205	5.1418e-08	AN
AT1G01540	0.317	0.199	0.435	0.056	2.188	5.659	2.8277e-05	AT1G01540
AT1G01550	0.458	0.386	0.53	0.034	1.514	13.39	1.8499e-10	BPS1
AT1G01560	0.102	0.058	0.147	0.021	6.773	4.818	0.00016067	MPK11
AT1G01570	0.25	0.18	0.321	0.033	2.771	7.5	8.6924e-07	AT1G01570
AT1G01610	0.082	0.062	0.103	0.01	8.422	8.433	1.7683e-07	GPAT4
AT1G01620	0.047	0.036	0.059	0.005	14.603	8.803	9.7e-08	PIP1-3
AT1G01630	0.798	0.671	0.925	0.06	0.869	13.256	2.1627e-10	AT1G01630
AT1G01640	0.053	0.029	0.077	0.011	13.187	4.616	0.00024634	AT1G01640
AT1G01650	0.133	0.081	0.185	0.025	5.212	5.418	4.6182e-05	SPPL4
AT1G01710	0.056	0.037	0.074	0.009	12.456	6.46	5.8797e-06	AT1G01710
AT1G01725	0.084	0.061	0.108	0.011	8.222	7.502	8.6607e-07	AT1G01725
AT1G01730	0.093	0.071	0.116	0.011	7.415	8.584	1.3814e-07	AT1G01730
AT1G01740	0.304	0.207	0.402	0.046	2.277	6.569	4.7754e-06	AT1G01740
AT1G01770	0.136	0.081	0.19	0.026	5.114	5.272	6.2273e-05	AT1G01770
AT1G01780	0.304	0.221	0.388	0.04	2.278	7.676	6.3733e-07	PLIM2B
AT1G01790	0.132	0.082	0.181	0.023	5.268	5.602	3.177e-05	KEA1
AT1G01800	0.064	0.04	0.088	0.011	10.83	5.684	2.6922e-05	AT1G01800
AT1G01820	0.06	0.043	0.077	0.008	11.59	7.393	1.0514e-06	PEX11C
AT1G01860	0.2	0.131	0.268	0.032	3.474	6.156	1.0564e-05	PFC1
AT1G01900	0.122	0.082	0.162	0.019	5.69	6.381	6.8318e-06	SBTI1.1
AT1G01910	0.046	0.032	0.059	0.006	15.198	7.042	1.9788e-06	AT1G01910
AT1G01920	0.074	0.056	0.092	0.009	9.328	8.636	1.2689e-07	AT1G01920
AT1G01930	0.241	0.157	0.325	0.04	2.878	6.05	1.2991e-05	AT1G01930
