name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G01540	AT1G01540	L	11.49	1.63	0.14	5.63	35.57	0.71	0.82
AT1G01720	NAC002	L	15.29	8.38	0.55	6.18	136.99	1.69	0.78
AT1G03730	AT1G03730	L	7.08	1.60	0.23	5.95	56.56	0.96	0.90
AT1G08570	ACHT4	L	43.96	7.40	0.17	8.00	42.10	0.61	0.76
AT1G08920	SUGTL2	E	7.08	1.25	0.18	2.30	44.07	1.54	0.87
AT1G08930	ERD6	L	49.41	9.23	0.19	3.92	46.71	1.13	0.87
AT1G09070	SRC2	L	40.29	13.13	0.33	8.00	81.47	1.01	0.64
AT1G09950	RAS1	L	1.28	8.24	6.43	3.56	1608.34	5.53	0.90
AT1G11700	AT1G11700	L	35.20	-5.40	-0.15	8.00	-38.32	-0.94	0.74
AT1G13250	GATL3	L	22.39	3.73	0.17	4.24	41.63	0.99	0.97
AT1G13260	RAV1	L	13.81	3.61	0.26	8.00	65.36	0.86	0.82
AT1G13740	AFP2	L	5.73	2.32	0.41	8.00	101.41	1.18	0.91
AT1G17620	AT1G17620	L	37.86	12.71	0.34	6.26	83.95	1.23	0.84
AT1G19020	AT1G19020	L	14.55	8.83	0.61	8.00	151.70	1.53	0.77
AT1G19050	ARR7	L	8.91	1.11	0.12	3.42	31.15	0.93	0.66
AT1G19180	TIFY10A	L	15.48	9.76	0.63	8.00	157.53	1.57	0.68
AT1G19770	PUP14	E	26.06	4.01	0.15	1.73	38.42	1.69	0.90
AT1G20450	ERD10	L	115.83	19.62	0.17	-0.63	42.36	NA	0.93
AT1G22710	SUC2	L	30.73	3.23	0.11	5.07	26.29	0.60	0.75
AT1G22890	AT1G22890	E	15.82	4.98	0.32	8.00	78.76	0.99	0.63
AT1G23030	PUB11	L	11.86	1.93	0.16	8.00	40.77	0.59	0.70
AT1G24170	GATL8	L	25.45	3.63	0.14	3.42	35.66	1.03	0.92
AT1G24530	AT1G24530	L	12.64	1.61	0.13	3.08	31.81	1.02	0.94
AT1G26920	AT1G26920	L	12.90	1.50	0.12	8.00	29.05	0.45	0.70
AT1G27100	AT1G27100	L	15.21	2.65	0.17	8.00	43.64	0.63	0.65
AT1G27770	ACA1	L	10.83	1.88	0.17	8.00	43.32	0.62	0.80
AT1G28660	AT1G28660	L	33.47	3.66	0.11	8.00	27.34	0.42	0.75
