name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G02340	HFR1	E	1.84323398867014	-0.254983830088747	-0.138335030525731	4.99999424472441	-34.5837576314326	-1.69748066177028	0.811673220176456
AT1G05870	AT1G05870	E	25.4875009221108	-1.24807924334223	-0.0489682863438172	4.99999243547323	-12.2420715859543	-0.405149189048145	0.849604785925026
AT1G08210	AT1G08210	L	7.40686684153953	-0.276649590475132	-0.0373504204130704	4.99999629231504	-9.33760510326761	-0.298233152331624	0.885126928686285
AT1G08880	HTA5	E	106.589798933879	14.0072230399314	0.131412416385366	4.03631706376703	32.8531040963415	0.859124864209206	0.824168620832502
AT1G09640	AT1G09640	E	109.351478565286	8.52828250936399	0.0779896405723707	4.55248704434201	19.4974101430927	0.514279246365484	0.880340132272385
AT1G13670	AT1G13670	L	7.90262507152815	4.973265411635e-07	6.29318152717741e-08	-17.0865124380708	1.57329538179435e-05	-1.32840774649428e-07	0.910783201595483
AT1G14720	XTH28	L	91.4041793080286	-1.79463700595781e-06	-1.96340804057761e-08	-17.9091047596641	-4.90852010144403e-06	3.95413260077318e-08	0.800513215955751
AT1G14730	CYB561C	L	6.12731128149248	7.75310083820499e-08	1.26533490498895e-08	-18.0545709710128	3.16333726247237e-06	-2.52774271749414e-08	0.861517899680844
AT1G17147	VQ1	L	2.00640197034827	0.194916218818017	0.0971471428450518	-0.999812296247319	24.286785711263	NA	0.876764491514664
AT1G17330	AT1G17330	L	2.98035694375232	0.113705399089738	0.0381516044003042	0.262812028018237	9.53790110007605	2.21075423512091	0.807369952191846
AT1G20693	HMGB2	E	51.3543998735088	10.4390567099367	0.203274826220328	3.34818118361429	50.818706555082	1.33216390273482	0.902298673207852
AT1G20950	PFP-ALPHA1	E	22.6646415388965	0.466631050187354	0.0205885034354739	0.450100283556452	5.14712585886847	1.10000267758299	0.856053914066656
AT1G21410	SKP2A	E	9.66536581254272	-0.543797528310655	-0.0562624880276099	3.49646462643803	-14.0656220069025	-0.742461322866854	0.859072110287327
AT1G23140	AT1G23140	L	6.23603342753295	0.0768100120518341	0.012317126414478	-2.4444520135149	3.07928160361951	-0.194245660371623	0.882660922610734
AT1G26910	RPL10B	E	15.2020829532364	1.34143748928215	0.0882403742571717	2.06711137309172	22.0600935642929	1.04767395714547	0.859219706156195
AT1G28480	GRXC9	E	0.460597398081641	0.286598064245713	0.622231183761298	2.75330079654175	155.557795940324	2.73332519350389	0.932618647964036
AT1G28960	NUDT15	L	6.77737200808123	7.43637816100916e-08	1.09723623731177e-08	-17.7621906369276	2.74309059327942e-06	-2.2280152809752e-08	0.806949818021571
AT1G36640	AT1G36640	L	0.625026419477378	1.13778134334446	1.82037320005742	4.95542626423518	455.093300014354	3.34819511761115	0.875757578247241
AT1G36732	CPuORF19	E	56.338113673477	-1.57548381428271	-0.0279647952612304	0.117088022544937	-6.99119881530761	NA	0.81886968564405
AT1G47270	TULP6	L	2.15104071782806	1.00111703213117e-07	4.65410544688344e-08	-16.2995142069922	1.16352636172086e-05	-1.02985509272648e-07	0.811050790988029
AT1G48770	AT1G48770	L	2.58777031164599	0.0440532213041809	0.0170236211096185	-1.14013270559089	4.25590527740464	-0.674110678399281	0.899367581370753
AT1G49640	CXE3	E	2.5666004007507	-0.420606112359707	-0.163876742260574	4.9999937838119	-40.9691855651434	-2.46900822514503	0.851874041684141
AT1G52190	NPF1.2	L	41.2703036923161	-3.02370304764526	-0.0732658298370657	4.99999217605907	-18.3164574592664	-0.658195747628538	0.804793134796273
AT1G52520	FRS6	E	1.99870804391218	-0.114051776704584	-0.0570627496356817	1.55494064419985	-14.2656874089204	-3.5984581300853	0.87841469685505
AT1G52740	HTA9	E	115.249979217144	11.1543197131951	0.0967837025998857	4.99999910829027	24.1959256499714	0.569411954759475	0.800936142059092
AT1G53730	SRF6	E	17.6001043927959	-0.692721047530485	-0.0393589169740397	0.283504847710827	-9.83972924350992	NA	0.82530750681525
AT1G53990	GLIP3	L	1.27737745102736	0.0128288646016488	0.0100431274963644	-4.35624164284298	2.51078187409111	-0.085644316285599	0.805241636934807
AT1G55010	PDF1.5	L	0.54742466154199	0.420237110116149	0.767661999246475	0.801438929747439	191.915499811619	4.64075776782067	0.812701249468803
AT1G56610	AT1G56610	E	3.74162758529605	-0.296234354835453	-0.0791725921627268	4.99998071183295	-19.7931480406817	-0.72705590181567	0.899559579344064
AT1G57980	PUP22	L	1.38059020602484	7.09335827412002e-08	5.13791727854138e-08	-16.9663935261675	1.28447931963534e-05	-1.09222505693586e-07	0.893772000406279
AT1G58807	RDL5	L	7.41961694845119	-0.0855688055818081	-0.0115327794111622	-1.1856740215748	-2.88319485279055	0.314022746221723	0.875408443469694
AT1G58848	RF9	L	4.70365296097846	-0.0016125089202469	-0.000342820555348	-5.89738249494379	-0.0857051388370001	0.00209510947934299	0.877343718238207
