source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
KAN1	DVL10	L	14.6053	-2.6989	-0.1848	5	-46.1982	-3.7172	0.9198
KAN1	AT5G17350	L	4.4766	-0.8155	-0.1822	5	-45.541	-3.4872	0.9768
KAN1	CYP707A3	L	5.148	-0.9238	-0.1794	5	-44.8622	-3.2828	0.9122
KAN1	ERF13	L	2.7891	-0.4695	-0.1683	4.311	-42.0827	-5.3911	0.9213
KAN1	SAUR9	L	2.4282	-0.4075	-0.1678	5	-41.9556	-2.6359	0.8188
KAN1	CAF1-9	L	13.5463	-2.2279	-0.1645	5	-41.1165	-2.4927	0.9151
KAN1	ERF105	L	19.8957	-3.2709	-0.1644	5	-41.1008	-2.4902	0.8242
KAN1	AT1G07135	L	10.6488	-1.603	-0.1505	5	-37.6343	-2.0156	0.8598
KAN1	AT1G70985	L	44.1902	-6.2996	-0.1426	5	-35.6389	-1.7998	0.8324
KAN1	SAUR1	L	22.4632	-3.1552	-0.1405	4.5847	-35.1151	-2.095	0.932
KAN1	ERF107	L	36.4996	-5.0961	-0.1396	5	-34.9055	-1.7279	0.8869
KAN1	ERF104	L	12.1915	-1.6469	-0.1351	5	-33.7716	-1.6234	0.8254
KAN1	FKBP65	L	13.0277	-1.7598	-0.1351	5	-33.7697	-1.6232	0.9299
KAN1	AT4G27280	L	59.3097	-7.926	-0.1336	5	-33.4095	-1.5916	0.8133
KAN1	TIN1	L	2.0897	-0.2781	-0.1331	5	-33.2695	-1.5795	0.8409
KAN1	XTH22	L	30.555	-3.9912	-0.1306	5	-32.6557	-1.5275	0.8724
KAN1	ARAB-1	L	72.412	-9.3759	-0.1295	5	-32.3699	-1.5039	0.8414
KAN1	AT5G59080	L	8.4638	-1.0799	-0.1276	5	-31.8969	-1.4657	0.8036
KAN1	ERF003	L	10.1833	-1.2697	-0.1247	4.65	-31.1712	-1.601	0.9264
KAN1	HOP3	L	14.8579	-1.8269	-0.123	5	-30.7397	-1.3763	0.8021
KAN1	AT3G50800	L	12.2915	-1.5007	-0.1221	5	-30.5237	-1.3602	0.8826
KAN1	HSPRO2	L	8.2868	-1.0106	-0.122	5	-30.4886	-1.3576	0.8268
KAN1	AT3G06750	L	43.3544	-5.1097	-0.1179	4.5065	-29.4649	-1.5305	0.892
KAN1	AT3G19850	L	11.7676	-1.3848	-0.1177	3.1467	-29.4198	-3.9422	0.9088
KAN1	AT5G25210	L	5.5346	-0.6458	-0.1167	5	-29.1729	-1.2635	0.8956
KAN1	ATL77	L	3.1021	-0.3601	-0.1161	5	-29.0207	-1.253	0.8388
KAN1	AT4G22190	L	18.7257	-2.1736	-0.1161	5	-29.0184	-1.2528	0.9183
KAN1	TPD1	L	11.6195	-1.342	-0.1155	5	-28.8727	-1.2428	0.8112
KAN1	ATPS3	L	13.1121	-1.5	-0.1144	5	-28.6001	-1.2243	0.8084
KAN1	ERF010	L	6.5257	-0.7461	-0.1143	4.9494	-28.5813	-1.2429	0.8558
KAN1	AT5G12050	L	18.8719	-2.1554	-0.1142	4.4696	-28.5537	-1.4693	0.8982
KAN1	AT5G11070	L	26.3934	-2.9946	-0.1135	4.6362	-28.3647	-1.3652	0.9171
KAN1	AT1G25550	L	34.2867	-3.8669	-0.1128	4.6399	-28.1954	-1.3499	0.9444
KAN1	AT3G06070	L	14.8604	-1.6728	-0.1126	5	-28.1427	-1.1938	0.8567
