name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G01490	AT1G01490	L	71.2264749223254	-3.58763063545834	-0.0503693414474149	1.91846960600253	-12.5923353618537	-1.54108882251213	0.852479889369625
AT1G01720	NAC002	L	11.8882927155117	2.18299503604419	0.183625612885174	2.47678423268942	45.9064032212935	1.51271638491446	0.833327765913659
AT1G02270	AT1G02270	L	5.30298206567751	0.0391787259797457	0.00738805553074037	-1.19981337792536	1.84701388268509	-0.241171124903826	0.823863269835322
AT1G04130	TPR2	L	6.98390818041713	-0.492527178456071	-0.0705231463147119	4.99998781987031	-17.630786578678	-0.627307700950714	0.821964103922186
AT1G05940	CAT9	E	11.6429220154736	-0.395556744102356	-0.0339740095808129	1.84194355221709	-8.49350239520323	-0.891954209552606	0.82988089253011
AT1G06000	UGT89C1	L	5.96829953023901	0.598170971072839	0.100224690138647	4.99999849117919	25.0561725346619	0.586042772779605	0.841395129569843
AT1G07135	AT1G07135	L	10.648833699002	-1.60304571894539	-0.150537210389118	4.99999005599752	-37.6343025972795	-2.01559321989435	0.859753844904153
AT1G07175	AT1G07175	L	3.76778078414294	0.0187074113413189	0.00496510078825467	-5.41679235723393	1.24127519706367	-0.0334444918265838	0.88583763881333
AT1G07350	SR45A	L	24.1509763061804	-0.85739450886635	-0.0355014430057197	1.42079683435677	-8.87536075142992	-1.41378719819138	0.88778822024059
AT1G08350	TMN5	E	5.06464455739924	-0.257351481788747	-0.0508133352443789	3.08543487324576	-12.7033338110947	-0.765423623426469	0.811185767783495
AT1G09070	SRC2	L	99.5612297685404	-9.31918568387448	-0.0936025569947226	4.32318255089284	-23.4006392486807	-1.1243227776633	0.921302850845124
AT1G09140	SR30	L	49.2079772280662	-3.20014167626415	-0.0650329856362988	4.99999455130604	-16.2582464090747	-0.567393898620896	0.841882993541113
AT1G09160	AT1G09160	L	11.9264316799547	-0.273740496869242	-0.0229524223351173	0.788652645159848	-5.73810558377932	-1.87611337859243	0.898516129925543
AT1G09530	PIF3	L	17.5691588523193	-0.884640483603139	-0.050351897381038	2.4869108229096	-12.5879743452595	-1.01791100850291	0.827043647632741
AT1G09575	AT1G09575	L	4.32264320582305	-0.352855500807985	-0.0816295687630781	4.99999539756034	-20.4073921907695	-0.756692172963708	0.908329266800631
AT1G09710	AT1G09710	L	1.80428998873472	-0.0393321713504698	-0.0217992515593637	0.291795055292812	-5.44981288984094	NA	0.808532082452471
AT1G10030	ERG28	L	29.6929962037639	4.34578694019567e-07	1.46357306294499e-08	-17.8856099817826	3.65893265736247e-06	-2.95138050422098e-08	0.821003501095233
AT1G13710	CYP78A5	L	2.33878522794589	-0.0840186024672478	-0.035924035034649	0.932611414082723	-8.98100875866225	-4.75616720777958	0.821501760270978
AT1G14360	UTR3	L	9.3789327466591	-0.642225609729597	-0.0684753401135504	4.61754540393383	-17.1188350283876	-0.668259304491011	0.859406676778648
AT1G14440	ZHD4	L	13.0611534208685	-0.686929742446092	-0.0525933445777116	4.27963360534748	-13.1483361444279	-0.529552505608327	0.8453262113478
AT1G14490	AHL28	L	1.3589840064165	-0.000132363797075613	-9.73990837645269e-05	-8.07130880925879	-0.0243497709411317	0.000435171007859841	0.852564402791027
AT1G14570	PUX7	E	21.8960469062469	-0.383651035897966	-0.0175214748826881	1.0187281205864	-4.38036872067202	-0.810925877895519	0.855508237159131
AT1G14740	OBE3	L	10.5622237127367	-0.0970723123154417	-0.00919051848886564	-1.28415390503046	-2.29762962221641	0.237467866802005	0.868109226353537
AT1G14920	GAI	L	13.8641105051625	-0.104346362228434	-0.00752636544476328	-1.35120448977169	-1.88159136119082	0.188088035887276	0.803955832985463
AT1G15100	RHA2A	L	95.1758278800508	0.487875878102841	0.00512604816758417	-4.22479308168735	1.28151204189604	-0.044438904019187	0.83286951528367
AT1G15550	GA3OX1	L	9.50200856944943	-0.222341414120326	-0.023399412081693	0.453505031343189	-5.84985302042326	NA	0.898955962672991
