source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
REV	AT5G24640	L	2.6137	-0.3919	-0.1499	5	-37.4806	-1.9978	0.8075
REV	anac047	L	3.2703	-0.4557	-0.1393	4.4842	-34.8337	-2.1636	0.8734
REV	AT5G54300	L	5.1696	-0.7082	-0.137	4.5981	-34.2464	-1.9703	0.8543
REV	FKBP65	L	8.7418	-1.1071	-0.1266	5	-31.6603	-1.447	0.8825
REV	HSP81-1	L	23.705	-2.9807	-0.1257	5	-31.4351	-1.4294	0.9618
REV	HAI1	L	1.9923	-0.2394	-0.1202	3.2656	-30.0445	-3.6446	0.9434
REV	BHLH23	L	1.9152	-0.1961	-0.1024	5	-25.6027	-1.0352	0.838
REV	AT5G41761	L	5.6206	-0.567	-0.1009	2.6825	-25.2194	-4.0623	0.8478
REV	AT1G71015	L	1.597	-0.1457	-0.0912	5	-22.8081	-0.8788	0.8866
REV	AT5G41400	L	14.6515	-1.3203	-0.0901	3.9911	-22.5286	-1.1992	0.8514
REV	BIR6	L	1.675	-0.1494	-0.0892	4.5296	-22.2987	-0.9779	0.8214
REV	AT1G48745	L	5.1716	-0.4602	-0.089	3.9721	-22.2487	-1.1848	0.9859
REV	UMAMIT41	L	15.349	-1.2895	-0.084	5	-21.0025	-0.786	0.8585
REV	GATA16	L	5.5448	-0.4575	-0.0825	4.4571	-20.6252	-0.8963	0.8017
REV	ATNAC2	L	4.6304	-0.3815	-0.0824	2.5379	-20.5994	-2.4087	0.9178
REV	ATHB-16	L	24.6974	-2.0305	-0.0822	3.3372	-20.5536	-1.3804	0.9209
REV	AT5G01740	L	44.8601	-3.5828	-0.0799	2.6327	-19.9665	-2.0493	0.8684
REV	ATHB-6	L	76.2296	-5.9774	-0.0784	2.6832	-19.6031	-1.8921	0.9461
REV	PME12	L	15.146	-1.187	-0.0784	5	-19.5932	-0.7175	0.8255
REV	AIB	L	6.2653	-0.4883	-0.0779	2.9483	-19.4851	-1.5601	0.9586
