source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
STM	MRN1	L	28.8737	-4.7712	-0.1652	5	-41.311	-2.5247	0.8715
STM	MED37C	L	270.6011	-44.5215	-0.1645	5	-41.1321	-2.4953	0.8107
STM	CYP710A4	L	20.5595	-3.3665	-0.1637	5	-40.9358	-2.4637	0.8312
STM	CXE3	L	2.0976	-0.3428	-0.1634	5	-40.8612	-2.4519	0.9106
STM	FAR1	L	31.7621	-4.9225	-0.155	5	-38.7451	-2.1514	0.8672
STM	AT1G70720	L	2.5325	-0.391	-0.1544	5	-38.6005	-2.133	0.9556
STM	NPF4.7	L	2.1986	-0.3241	-0.1474	4.7449	-36.8531	-2.1629	0.9224
STM	FLA6	L	7.2438	-1.0622	-0.1466	5	-36.659	-1.9061	0.8892
STM	AT4G22610	L	30.7253	-4.4714	-0.1455	4.7924	-36.3817	-2.0538	0.8004
STM	CYP705A12	L	6.4321	-0.9169	-0.1425	5	-35.637	-1.7996	0.965
STM	CYP705A5	L	61.935	-7.7509	-0.1251	4.0552	-31.2864	-2.1298	0.9135
STM	PRP1	L	10.5806	-1.3047	-0.1233	5	-30.8274	-1.3829	0.8772
STM	ADS1	L	22.2214	-2.7231	-0.1225	5	-30.6361	-1.3686	0.8618
STM	HOP3	L	17.3812	-2.103	-0.121	5	-30.2483	-1.34	0.8437
STM	AT1G70985	L	31.9567	-3.7515	-0.1174	4.84	-29.3485	-1.3451	0.8671
STM	AT5G54300	L	4.11	-0.4748	-0.1155	5	-28.8781	-1.2432	0.9195
STM	JAL41	L	7.5926	-0.8714	-0.1148	5	-28.6909	-1.2305	0.9124
STM	DREB2D	L	2.0921	-0.2388	-0.1141	5	-28.5352	-1.22	0.8566
STM	PME24	L	3.1202	-0.3391	-0.1087	5	-27.1709	-1.1311	0.8368
STM	GASA14	L	359.1353	-38.6909	-0.1077	5	-26.9334	-1.1161	0.8748
STM	ATL55	L	14.1583	-1.5149	-0.107	5	-26.7496	-1.1047	0.8552
STM	CDF1	L	4.1726	-0.4423	-0.106	4.0239	-26.4978	-1.5501	0.8821
STM	AT1G11210	L	4.9284	-0.5182	-0.1051	5	-26.2838	-1.0761	0.8407
STM	AT5G55620	L	37.8057	-3.9477	-0.1044	5	-26.1053	-1.0652	0.8859
STM	AT5G01215	L	83.0473	-8.6564	-0.1042	4.4318	-26.0585	-1.2793	0.8449
STM	XTH7	L	277.2034	-28.814	-0.1039	5	-25.9863	-1.0581	0.8064
STM	CDC48D	L	6.4521	-0.6696	-0.1038	5	-25.9452	-1.0556	0.8761
STM	ARL	L	36.5878	-3.7883	-0.1035	5	-25.8853	-1.052	0.856
STM	ZIP5	L	8.5356	-0.8811	-0.1032	5	-25.8067	-1.0473	0.8174
STM	AT2G17500	L	11.8448	-1.2107	-0.1022	4.5763	-25.5529	-1.1791	0.9166
STM	AT3G02910	L	124.2486	-12.6119	-0.1015	5	-25.3763	-1.0219	0.8882
STM	DGR2	L	186.8596	-18.9635	-0.1015	5	-25.3713	-1.0216	0.8504
STM	PP2A11	L	13.3644	-1.3512	-0.1011	5	-25.277	-1.0161	0.9107
STM	BGLU40	L	11.6191	-1.1566	-0.0995	5	-24.8866	-0.9935	0.8656
STM	TRM28	L	6.1591	-0.61	-0.099	5	-24.76	-0.9862	0.9012
STM	2A6	L	3.5258	-0.3465	-0.0983	5	-24.5685	-0.9753	0.8063
STM	IRT3	L	34.5211	-3.3188	-0.0961	5	-24.0346	-0.9453	0.8342
STM	CYP705A30	L	12.4162	-1.1821	-0.0952	3.422	-23.802	-1.7158	0.8614
STM	AT3G57880	L	9.3168	-0.8869	-0.0952	5	-23.7989	-0.9323	0.8724
STM	BBX28	L	28.7949	-2.7384	-0.0951	5	-23.7752	-0.931	0.8544
STM	ATL15	L	16.1689	-1.5371	-0.0951	5	-23.7662	-0.9305	0.8276
STM	AT1G48745	L	5.8856	-0.5592	-0.095	5	-23.7517	-0.9297	0.8214
STM	CYCU4-3	L	6.927	-0.6531	-0.0943	5	-23.571	-0.9198	0.8586
STM	XTH27	L	71.7888	-6.7675	-0.0943	5	-23.5675	-0.9196	0.8386
STM	AT5G10650	L	7.16	-0.6748	-0.0942	5	-23.5601	-0.9192	0.9101
STM	UGT85A5	L	2.9876	-0.2805	-0.0939	3.8576	-23.4699	-1.3526	0.8856
STM	AT3G25290	L	19.2196	-1.8	-0.0937	4.8264	-23.4139	-0.9577	0.8788
STM	NHX2	L	5.9225	-0.5502	-0.0929	5	-23.2238	-0.901	0.8843
STM	AT5G38200	L	6.27	-0.5822	-0.0929	4.3955	-23.2155	-1.0836	0.807
STM	HMG1	L	80.7338	-7.4141	-0.0918	5	-22.9586	-0.8868	0.8711
STM	AT3G24100	L	384.1854	-35.2437	-0.0917	5	-22.9341	-0.8855	0.8189
STM	LBD38	L	80.9162	-7.3897	-0.0913	5	-22.8313	-0.88	0.8343
STM	CYP71A16	L	29.5179	-2.6664	-0.0903	2.6825	-22.5828	-2.6606	0.8407
STM	CXE5	L	84.447	-7.5197	-0.089	5	-22.2615	-0.85	0.9275
STM	OCT6	L	8.2528	-0.7314	-0.0886	4.0714	-22.1552	-1.1334	0.8442
STM	PER60	L	6.5676	-0.5782	-0.088	3.0612	-22.0092	-1.8312	0.8274
STM	ZIP3	L	12.1719	-1.0539	-0.0866	5	-21.6464	-0.8184	0.8226
STM	AT2G25220	L	1.6042	-0.1389	-0.0866	5	-21.6453	-0.8183	0.8806
STM	PAP1	L	75.1659	-6.4582	-0.0859	5	-21.48	-0.81	0.8207
STM	AT3G22570	L	21.0442	-1.7985	-0.0855	5	-21.3653	-0.8042	0.8263
STM	AT5G22860	L	3.1108	-0.2641	-0.0849	5	-21.2272	-0.7972	0.8264
STM	GID1C	L	4.0497	-0.3436	-0.0849	5	-21.2131	-0.7965	0.9016
STM	BT4	L	33.7741	-2.8393	-0.0841	3.8154	-21.017	-1.1547	0.8088
STM	ATL75	L	4.7597	-0.3919	-0.0823	5	-20.5864	-0.7654	0.8375
STM	AT3G57400	L	15.1934	-1.2074	-0.0795	5	-19.8675	-0.7306	0.803
STM	PTI1-4	L	15.8062	-1.254	-0.0793	5	-19.8346	-0.729	0.8854
STM	AT2G41475	L	78.2139	-6.186	-0.0791	5	-19.7728	-0.7261	0.8538
STM	AT1G60010	L	56.8071	-4.4763	-0.0788	5	-19.6997	-0.7226	0.8847
STM	XTH15	L	86.4165	-6.5798	-0.0761	5	-19.0351	-0.6913	0.8904
STM	AT4G33666	L	65.4198	-4.9533	-0.0757	4.0067	-18.9289	-0.9226	0.8821
STM	CYP81H1	L	11.0158	-0.7894	-0.0717	5	-17.9154	-0.6401	0.8854
STM	UGT79B7	L	3.3001	-0.2341	-0.0709	3.371	-17.7323	-1.0771	0.9068
STM	BIL4	L	59.8078	-4.1552	-0.0695	5	-17.369	-0.6157	0.9148
STM	AT1G23205	L	42.7551	-2.882	-0.0674	3.1746	-16.8516	-1.0918	0.871
STM	THFS	L	74.6102	-4.9593	-0.0665	5	-16.6175	-0.5828	0.82
STM	AT5G17760	L	18.2915	-1.2128	-0.0663	2.9526	-16.5755	-1.189	0.9389
