name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G01920	AT1G01920	E	6.89452796711074	-0.243534639748039	-0.0353228880801967	2.46041262957767	-8.83072202004917	-0.64140622496073	0.812198110204862
AT1G02640	BXL2	E	7.00407804088893	-0.400129548774566	-0.0571280825882665	3.09072341487408	-14.2820206470666	-0.894571687044508	0.816306687346125
AT1G03410	2A6	L	3.52580961366268	-0.346495240016625	-0.0982739506619811	4.99999557152094	-24.5684876654953	-0.975312072061125	0.806333692344775
AT1G04350	AT1G04350	E	19.9383218408827	-0.573298236509981	-0.0287535852357672	0.841216707063466	-7.18839630894181	-2.78114416727935	0.856821728503031
AT1G04400	CRY2	L	20.0531311248362	-0.988603933354567	-0.0492992304892557	3.68524788451077	-12.3248076223139	-0.587351400155928	0.925610021357283
AT1G04530	TPR4	L	26.7484716011518	2.14220693798348	0.0800870782423034	3.07701765844406	20.0217695605758	0.723067030280537	0.866469812755576
AT1G05140	ARASP2	L	8.63015757444663	2.79804468697668e-07	3.24217102971738e-08	-16.7945045845432	8.10542757429344e-06	-6.9627897620447e-08	0.80217845251825
AT1G05300	ZIP5	L	8.53556692051226	-0.881098083483851	-0.103226662234519	4.99998571879517	-25.8066655586297	-1.04732286820845	0.817360943144138
AT1G06040	BBX24	E	129.886080346282	-6.5802761858263	-0.0506619044033279	0.829101152717346	-12.665476100832	NA	0.824508745547667
AT1G06050	AT1G06050	E	2.28343684941477	-0.0682801272267221	-0.0299023497164907	0.543936945067248	-7.47558742912267	NA	0.853094550813876
AT1G06080	ADS1	L	22.2213526277915	-2.7230999696895	-0.122544294008629	4.99999440426219	-30.6360735021573	-1.36855912626911	0.86181738580913
AT1G06475	AT1G06475	E	6.70168392268778	0.925999469869519	0.138174148550136	4.99998873555872	34.543537137534	0.757767706314996	0.862173452185344
AT1G07630	PLL5	L	6.53708274099162	-0.211901519853548	-0.0324153033163848	2.17156519000267	-8.10382582909621	-0.673874640814148	0.891529629687303
AT1G07820	AT1G07820	L	72.4002181836693	6.69174916298917	0.0924271960895633	4.9999952351234	23.1067990223908	0.548077924495124	0.857560865077963
AT1G08000	GATA10	L	3.15946427850039	0.0647868923936126	0.0205056575048106	-0.262887533865566	5.12641437620266	NA	0.858228900655731
AT1G10070	BCAT2	L	1.14381570777302	0.0293850729396814	0.0256903911530411	-3.63791969197763	6.42259778826028	-0.28023984652921	0.855210948722068
AT1G10370	GSTU17	L	13.304613578878	0.0996216961280731	0.0074877556974845	-2.27136816970845	1.87193892437113	-0.124085653888275	0.800088183577106
AT1G10657	AT1G10657	L	1.98518775993314	3.56925109687675e-07	1.79794131764995e-07	-16.0354509082257	4.49485329412489e-05	-4.04397949424475e-07	0.886002287889119
AT1G11210	AT1G11210	L	4.92844834363245	-0.518152771835003	-0.105135072076885	4.99999915819966	-26.2837680192213	-1.07605355041672	0.840675194344986
AT1G13740	AFP2	L	4.01065097852273	0.241589134628129	0.0602368882063917	2.9023337620249	15.0592220515979	0.602994561304292	0.815747358781943
AT1G14687	ZHD14	L	3.84276180262624	0.00197573506414584	0.000514144556864174	-6.93083432755321	0.128536139216043	-0.00267804145435714	0.811362623178138
AT1G15210	ABCG35	E	2.90285743853294	0.33920611892246	0.116852489695081	1.34028316747944	29.2131224237703	1.66885579472321	0.832259711316491
AT1G15740	AT1G15740	E	9.69026609964025	-0.360544649976016	-0.0372068884660867	1.0255722670307	-9.30172211652168	-3.42629524109684	0.86498104715537
AT1G16370	OCT6	L	8.25279339828021	-0.731367809001748	-0.088620637123202	4.07144447299938	-22.1551592808005	-1.13339956040473	0.844203435884841
AT1G16445	AT1G16445	L	2.73701180571681	0.144808819948177	0.0529076343937261	0.806134743607388	13.2269085984315	1.40096485966516	0.819255143383239
AT1G17050	SPS2	L	9.68489067920635	0.264179965221103	0.0272775371422935	3.57838640257379	6.81938428557337	0.251654252427791	0.895096384720083
AT1G17590	NFYA8	L	2.7491273474064	0.0239068089819629	0.00869614461640607	-0.918117283363615	2.17403615410152	-0.389853422716182	0.87086986051915
AT1G17620	AT1G17620	L	48.2297903597235	-1.50354862505512	-0.0311746871350851	2.56249928178926	-7.79367178377127	-0.523138011222036	0.86007792070963
AT1G18610	AT1G18610	L	1.70237641337181	8.02498452655682e-08	4.7139894934647e-08	-16.4449922444871	1.17849737336617e-05	-1.03387849098997e-07	0.827582973568365
AT1G19540	AT1G19540	E	3.88875939882508	-0.257151341853468	-0.0661268326168912	3.57552815885904	-16.5317081542228	-0.895279824273405	0.840870104024201
AT1G19900	AT1G19900	E	5.72355767260508	-0.312508219262494	-0.0546003442506163	-0.0782169087602178	-13.6500860626541	4.20567241944759	0.807596793089609
AT1G21270	WAK2	L	10.5987914264917	-0.308856685696769	-0.0291407457009468	0.859188017054732	-7.2851864252367	-2.71705282151681	0.81822653758569
AT1G21740	AT1G21740	E	0.745265097490003	0.056956594191238	0.0764246096899795	0.533529946986266	19.1061524224949	2.1956888311528	0.831161476579034
AT1G22160	AT1G22160	L	1.96285081343863	7.84973015925001e-05	3.9991476201385e-05	-10.3549381561925	0.00999786905034625	-0.000139301386937615	0.84195207771042
AT1G22370	UGT85A5	L	2.98764998709919	-0.280479086284388	-0.093879499772567	3.85757533421878	-23.4698749431418	-1.35258425284582	0.885631176431447
AT1G22500	ATL15	L	16.1689060803757	-1.53709398590602	-0.0950648100907459	4.99999547047939	-23.7662025226865	-0.930502618641108	0.827640724006852
AT1G23205	AT1G23205	L	42.7550968653016	-2.88196881273445	-0.0674064386244752	3.174645380349	-16.8516096561188	-1.09178241851818	0.871019216943003
AT1G23480	CSLA3	L	5.57040498184228	-0.344092902759731	-0.0617716133533132	4.9999983575084	-15.4429033383283	-0.532946293101319	0.837903693918928
AT1G23530	AT1G23530	E	2.04469208505472	0.14221631306374	0.0695539020780893	1.62581288168685	17.3884755195223	1.04929968924596	0.836608303191891
AT1G24160	AT1G24160	L	13.1957802251329	-0.496972577480257	-0.0376614773057311	3.07432433249498	-9.41536932643277	-0.527529210925683	0.957601494046493
AT1G26560	BGLU40	L	11.6190821905549	-1.15663727270673	-0.099546354327965	4.99999425304664	-24.8865885819913	-0.993471719816773	0.865559921702358
AT1G26960	ATHB-23	L	6.18535464648129	0.430566022300608	0.0696105634857246	0.192077908075608	17.4026408714311	3.33058695044931	0.876216100077606
AT1G27590	AT1G27590	E	1.6961199447178	-0.12870435795157	-0.0758816369988408	2.18394695380213	-18.9704092497102	-2.92828762559411	0.893126856327378
AT1G28580	AT1G28580	L	28.711148578049	-7.10672389822645e-08	-2.47524890162697e-09	-19.1927933826753	-6.18812225406742e-07	4.65152359468769e-09	0.816157701860034
AT1G29240	AT1G29240	L	1.52475497046012	0.034131155006034	0.0223846819110445	-0.645881502580347	5.59617047776113	-2.90443137774816	0.932502994357251
AT1G29300	UNE1	E	2.35761081438581	-0.151162644773216	-0.0641168779218533	1.60221408737285	-16.0292194804633	NA	0.834916715688422
