source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
TINY	AT4G17085	L	58.8884	-12.9648	-0.2202	5	-55.0399	NA	0.9786
TINY	AT1G01725	L	14.7581	-3.2074	-0.2173	5	-54.3337	NA	0.9779
TINY	STR17	L	2.6237	-0.4493	-0.1712	5	-42.8122	-2.7983	0.97
TINY	AT3G10040	L	4.5961	-0.6275	-0.1365	4.6412	-34.1338	-1.9184	0.8963
TINY	AT4G10270	L	21.2421	-2.6503	-0.1248	5	-31.192	-1.4106	0.8951
TINY	AT1G61050	L	1.8301	-0.2193	-0.1199	5	-29.9638	-1.3193	0.8524
TINY	AT3G23930	L	4.0835	-0.4853	-0.1188	5	-29.7108	-1.3012	0.9024
TINY	LBD41	L	10.7729	-1.2138	-0.1127	4.8852	-28.1682	-1.2399	0.8618
TINY	AT3G44970	L	3.7823	-0.4187	-0.1107	5	-27.672	-1.1631	0.909
TINY	AT5G03230	L	19.5481	-2.0322	-0.104	5	-25.9895	-1.0583	0.9482
TINY	AT5G01250	L	2.6352	-0.2577	-0.0978	3.128	-24.4432	-2.1939	0.8312
TINY	MYB12	L	2.1601	-0.2101	-0.0973	5	-24.3185	-0.9612	0.8526
TINY	AtbZIP3	L	16.3533	-1.5807	-0.0967	5	-24.1646	-0.9526	0.8287
TINY	GDU3	L	13.7307	-1.2672	-0.0923	5	-23.0721	-0.8928	0.8532
TINY	AT3G27220	L	9.1444	-0.8438	-0.0923	4.9112	-23.0697	-0.9152	0.8625
TINY	CPuORF63	L	4.6945	-0.4148	-0.0884	4.3683	-22.0876	-1.0164	0.9192
TINY	AT4G34600	L	32.668	-2.7893	-0.0854	4.2769	-21.3457	-0.9974	0.8115
TINY	SAUR31	L	9.0165	-0.7388	-0.0819	5	-20.484	-0.7604	0.8756
TINY	AT5G02090	L	19.5275	-1.5791	-0.0809	4.5029	-20.2162	-0.8598	0.8205
TINY	AtMYB10	L	2.7272	-0.2152	-0.0789	3.3216	-19.7279	-1.3002	0.8135
TINY	AT2G31290	L	1.586	-0.121	-0.0763	5	-19.0745	-0.6931	0.8637
TINY	CYP78A8	L	3.7466	-0.2787	-0.0744	4.4962	-18.599	-0.7702	0.805
TINY	HSP1	L	3.719	-0.2605	-0.07	4.4777	-17.5102	-0.7156	0.9148
TINY	AT3G05675	L	2.4925	-0.1732	-0.0695	5	-17.3726	-0.6158	0.9083
TINY	AT1G56090	L	4.6291	-0.3055	-0.066	5	-16.5016	-0.5778	0.9366
TINY	AT1G69050	L	2.2137	-0.1458	-0.0658	3.5656	-16.4625	-0.8935	0.8439
TINY	AT2G18240	L	7.5234	-0.4886	-0.0649	5	-16.236	-0.5664	0.8815
TINY	AT3G45210	L	23.3775	-1.4535	-0.0622	5	-15.5437	-0.5372	0.8228
TINY	ATNAC3	L	3.9487	-0.2403	-0.0609	3.0475	-15.2143	-0.9978	0.8943
TINY	AT4G22730	L	1.9455	-0.111	-0.057	3.772	-14.2594	-0.6851	0.8835
TINY	AT5G40960	L	4.2276	-0.2344	-0.0555	3.2101	-13.8638	-0.8157	0.8127
TINY	CPuORF36	L	3.4386	-0.187	-0.0544	2.453	-13.5941	-1.1655	0.8564
TINY	AT3G44420	L	3.5541	-0.1812	-0.051	1.7538	-12.7452	-1.8715	0.8231
TINY	AT3G01260	L	3.8619	-0.1927	-0.0499	2.541	-12.4745	-0.9741	0.8896
TINY	AHK4	L	3.7039	-0.1786	-0.0482	3.9638	-12.0564	-0.5232	0.9121
