UniqueCount	AmbigCount
107	0
0	203
0	203
86	0
32	143
0	143
1499	0
0	750
0	782
0	782
0	787
13	725
0	152
75	152
0	0
0	598
0	598
4883	1
44	3005
0	1102
0	2358
0	3005
16	24
0	24
0	0
243	0
44	0
1	640
0	640
0	640
0	0
57	286
0	286
0	723
224	723
176	0
109	0
26	0
206	1
222	1
67	0
416	0
13	325
0	325
0	244
10	0
14	240
1	240
0	221
0	0
0	0
0	197
16	197
2708	0
0	0
1	0
92	2281
0	2281
1	109
20	109
226	0
3	0
254	0
10	35
1	35
7	0
43	0
0	0
0	0
396	0
2149	0
205	0
32	35
79	126
0	46
0	106
0	7
0	7
0	0
2812	0
0	0
3	1888
0	1888
3	1011
347	1011
149	0
683	0
12	0
2	0
72	655
0	655
535	1829
0	1829
0	15
1	15
26	0
13	0
2	0
164	0
1026	0
0	6532
0	6532
1313	0
0	46
37	46
0	374
0	374
23	0
9	0
2	0
66	0
0	0
23	0
281	0
794	0
62	0
392	0
0	112
0	112
86	1
31	1
204	1
84	1
565	0
0	813
0	813
17	0
401	0
0	203
0	218
28	218
17	2
71	2
0	0
0	23
0	23
0	0
197	0
2	832
0	832
0	832
0	831
0	831
57	283
0	283
199	0
213	0
0	314
0	314
0	314
535	0
300	0
0	0
522	0
315	0
14	73
0	73
0	298
0	298
4	0
0	0
51	0
101	0
1	18
0	18
6	0
0	0
4	310
0	310
0	485
0	485
0	485
151	663
0	658
0	663
570	0
890	0
656	0
2926	0
0	371
0	371
0	371
0	371
1727	0
0	260
0	260
533	0
79	0
0	1
0	1
0	484
0	503
0	503
0	0
84	0
0	0
4	0
2	0
141	0
201	0
2	939
75	939
130	0
89	0
814	0
15	0
0	0
262	0
305	0
166	0
11	0
118	0
144	0
93	0
8	0
0	0
208	0
18	0
339	0
50	0
34	0
3	0
2	0
15	0
0	68
11	68
854	0
0	0
2	0
57	9432
0	9432
0	0
33	0
4	0
0	0
0	0
1389	0
32	0
17	0
2	0
0	0
0	0
80	0
3	0
0	5
1	5
419	0
20	0
224	0
26	0
123	0
0	240
0	240
21	0
92	0
0	221
39	221
293	0
125	0
41	70
0	70
0	0
15	0
7704	0
0	0
16	0
143	0
0	0
328	0
24	0
0	0
0	636
0	636
0	608
0	259
0	259
0	259
0	259
0	259
0	306
0	306
150	0
0	98
0	113
0	116
29	116
0	91
0	91
632	0
682	0
937	0
42	527
2	527
1	0
2	62
0	62
0	62
10	62
0	40
0	200
0	211
0	211
0	0
82	0
3	0
0	174
0	174
0	174
251	0
38	0
79	0
0	0
259	0
0	352
18	352
0	0
2	32
0	32
143	0
0	6
0	6
772	0
0	258
0	258
49	2
0	0
1	0
266	0
6	0
7942	1
489	0
262	0
0	770
4	770
4	0
0	37
0	37
16	129
1	129
40	0
283	0
4637	0
541	0
4	0
5	319
7	319
182	0
64	0
540	0
