unstranded	firststrand	secondstrand
N_unmapped	5555160	5555160	5555160
N_multimapping	0	0	0
N_noFeature	1304951	8888838	8355372
N_ambiguous	328961	67715	71608
AT1G01010	100	45	55
AT1G01020	198	98	100
AT1G01030	81	37	44
AT1G01040	173	106	106
AT1G01046	0	0	0
AT1G01050	1405	651	793
AT1G01060	802	373	429
AT1G01070	223	112	111
AT1G01073	0	0	0
AT1G01080	571	281	290
AT1G01090	4640	2424	2216
AT1G01100	2905	1362	1543
AT1G01110	42	24	18
AT1G01115	0	0	0
AT1G01120	238	118	120
AT1G01130	36	15	21
AT1G01140	624	302	322
AT1G01150	0	0	0
AT1G01160	282	227	234
AT1G01170	754	448	485
AT1G01180	173	78	95
AT1G01183	0	0	0
AT1G01190	108	44	64
AT1G01200	23	10	13
AT1G01210	207	105	102
AT1G01220	217	103	114
AT1G01225	64	35	29
AT1G01230	395	192	203
AT1G01240	322	171	151
AT1G01250	8	4	4
AT1G01260	248	117	131
AT1G01270	0	0	0
AT1G01280	0	0	0
AT1G01290	211	96	115
AT1G01300	2630	1283	1347
AT1G01305	0	0	0
AT1G01310	1	3	0
AT1G01320	2285	1153	1134
AT1G01340	140	71	69
AT1G01350	224	111	113
AT1G01355	3	2	1
AT1G01360	244	120	124
AT1G01370	44	22	22
AT1G01380	7	4	3
AT1G01390	42	25	17
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	388	189	199
AT1G01430	2100	1014	1086
AT1G01440	202	92	110
AT1G01448	75	117	111
AT1G01450	0	76	77
AT1G01453	8	3	5
AT1G01460	0	0	0
AT1G01470	2673	1238	1435
AT1G01471	0	0	0
AT1G01480	25	11	14
AT1G01490	1305	629	676
AT1G01500	147	71	76
AT1G01510	658	335	323
AT1G01520	12	7	5
AT1G01530	1	0	1
AT1G01540	711	346	365
AT1G01550	2286	1138	1148
AT1G01560	16	13	3
AT1G01570	26	14	12
AT1G01580	13	4	9
AT1G01590	2	2	0
AT1G01600	158	78	80
AT1G01610	1006	505	501
AT1G01620	6347	3067	3280
AT1G01630	1257	597	661
AT1G01640	79	33	47
AT1G01650	368	178	190
AT1G01660	23	13	10
AT1G01670	9	4	5
AT1G01680	2	2	0
AT1G01690	58	24	34
AT1G01695	0	0	0
AT1G01700	24	10	14
AT1G01710	272	122	150
AT1G01720	761	366	403
AT1G01725	57	29	36
AT1G01730	382	189	205
AT1G01740	110	47	75
AT1G01750	83	42	44
AT1G01760	31	16	18
AT1G01770	190	92	98
AT1G01780	66	29	37
AT1G01790	558	271	287
AT1G01800	785	403	382
AT1G01810	16	10	6
AT1G01820	377	187	190
