Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cultivar]	Characteristics[genotype]	Characteristics[age]	Unit [time unit]	Characteristics[organism part]	Comment [sample_name]	Comment [tissue_type]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	FactorValue [genotype]	FactorValue[compound]	FactorValue[dose]	Unit [concentration unit]	FactorValue [time]	Unit[time unit]
DRS016281	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR +DEX 24h	young leaves 1 mm above shoot apices	SAMD00017719	SAMD00017719	DRS016281	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR +DEX 24h rep1_DRX017638	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017638	sequencing assay	DRX017638	DRR019485	NIG	DRR019485	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019485/DRR019485.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	dexamethasone	10	micromolar	24	hour
DRS016281	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR +DEX 24h	young leaves 1 mm above shoot apices	SAMD00017719	SAMD00017719	DRS016281	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR +DEX 24h rep2_DRX017646	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017646	sequencing assay	DRX017646	DRR019493	NIG	DRR019493	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019493/DRR019493.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	dexamethasone	10	micromolar	24	hour
DRS016282	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR +DEX 3h	young leaves 1 mm above shoot apices	SAMD00017720	SAMD00017720	DRS016282	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR +DEX 3h rep1_DRX017636	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017636	sequencing assay	DRX017636	DRR019483	NIG	DRR019483	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019483/DRR019483.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	dexamethasone	10	micromolar	3	hour
DRS016282	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR +DEX 3h	young leaves 1 mm above shoot apices	SAMD00017720	SAMD00017720	DRS016282	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR +DEX 3h rep2_DRX017644	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017644	sequencing assay	DRX017644	DRR019491	NIG	DRR019491	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019491/DRR019491.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	dexamethasone	10	micromolar	3	hour
DRS016283	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR +DEX 6h	young leaves 1 mm above shoot apices	SAMD00017721	SAMD00017721	DRS016283	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR +DEX 6h rep1_DRX017637	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017637	sequencing assay	DRX017637	DRR019484	NIG	DRR019484	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019484/DRR019484.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	dexamethasone	10	micromolar	6	hour
DRS016283	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR +DEX 6h	young leaves 1 mm above shoot apices	SAMD00017721	SAMD00017721	DRS016283	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR +DEX 6h rep2_DRX017645	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017645	sequencing assay	DRX017645	DRR019492	NIG	DRR019492	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019492/DRR019492.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	dexamethasone	10	micromolar	6	hour
DRS016284	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR -DEX	young leaves 1 mm above shoot apices	SAMD00017722	SAMD00017722	DRS016284	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR -DEX rep1_DRX017635	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017635	sequencing assay	DRX017635	DRR019482	NIG	DRR019482	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019482/DRR019482.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	none	0	micromolar	0	hour
DRS016284	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	dexamethasone-inducible OSH1 overexpressor 	3	week	leaf	35S:OSH1-GR -DEX	young leaves 1 mm above shoot apices	SAMD00017722	SAMD00017722	DRS016284	LIBRARY_CONSTRUCTION_PROTOCOL_1	35S:OSH1-GR -DEX rep2_DRX017643	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017643	sequencing assay	DRX017643	DRR019490	NIG	DRR019490	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019490/DRR019490.fastq.gz	dexamethasone-inducible OSH1 overexpressor 	none	0	micromolar	0	hour
DRS016285	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	wild type	3	week	leaf	WT +DEX 24h	young leaves 1 mm above shoot apices	SAMD00017723	SAMD00017723	DRS016285	LIBRARY_CONSTRUCTION_PROTOCOL_1	WT +DEX 24h rep1_DRX017642	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017642	sequencing assay	DRX017642	DRR019489	NIG	DRR019489	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019489/DRR019489.fastq.gz	wild type	dexamethasone	10	micromolar	24	hour
DRS016285	Oryza sativa Japonica Group	NCBI Taxonomy	39947	T65	wild type	3	week	leaf	WT +DEX 24h	young leaves 1 mm above shoot apices	SAMD00017723	SAMD00017723	DRS016285	LIBRARY_CONSTRUCTION_PROTOCOL_1	WT +DEX 24h rep2_DRX017650	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	SEQUENCING_PROTOCOL_1	NIG	DRX017650	sequencing assay	DRX017650	DRR019497	NIG	DRR019497	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR019/DRR019497/DRR019497.fastq.gz	wild type	dexamethasone	10	micromolar	24	hour
