"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"250796_at"	7.03576543633538	8.4532998123566	56.8771719006644	2.55942021963387e-17	2.21673498242432e-13	29.5484177372674
"248322_at"	8.4354968809476	7.76593399244487	56.7880007849701	2.61336880285623e-17	2.21673498242432e-13	29.5313279769211
"254948_at"	6.06009478321234	8.11217144502586	55.1071135392379	3.8963578974104e-17	2.21673498242432e-13	29.2016852450813
"249264_s_at"	6.77255483724316	8.26082815990481	54.2593268254136	4.78792144122624e-17	2.21673498242432e-13	29.0298529451722
"267623_at"	5.52614674309386	9.03383627476127	54.1990851447661	4.85912972911951e-17	2.21673498242432e-13	29.017496429429
"247071_at"	7.32494246869432	7.56073977553578	50.6056297724479	1.20885258449492e-16	3.47381276544083e-13	28.2432771134301
"261065_at"	5.6719751245893	7.05228781698191	50.5429340509082	1.22892026181362e-16	3.47381276544083e-13	28.2290904429068
"245329_at"	6.91040012331226	9.68479915279558	50.1404822908755	1.36657348318418e-16	3.47381276544083e-13	28.1374417080667
"264758_at"	7.07842422109562	8.75187936744159	49.6605084068855	1.55276447453821e-16	3.47381276544083e-13	28.0268048933282
"264434_at"	5.64776546655703	7.81851708674546	49.1461862958867	1.78295404672221e-16	3.47381276544083e-13	27.9066106465682
"256306_at"	7.83908261282745	8.75752499936482	49.1095887445038	1.80067647517993e-16	3.47381276544083e-13	27.8979924830924
"265597_at"	7.05291267965211	7.8735462715047	49.0548845010069	1.82752096384436e-16	3.47381276544083e-13	27.8850941138692
"249197_at"	7.33421785216776	7.15824984615525	48.1709411302814	2.32650121830559e-16	3.55733158922873e-13	27.6739228000355
"256833_at"	7.5908271697026	8.543618606105	48.1461541308016	2.34245108931686e-16	3.55733158922873e-13	27.6679256137976
"258653_at"	6.95891331155692	7.77810306227244	48.1114319044353	2.36499194166884e-16	3.55733158922873e-13	27.6595175852166
"263800_at"	5.35314199849629	9.41436879894171	47.917459431649	2.4952786246234e-16	3.55733158922873e-13	27.6123955873025
"256633_at"	5.39949505999867	8.11834389666337	47.5558504119874	2.75921683305429e-16	3.70221976246872e-13	27.5238586939189
"246993_at"	6.68157514668165	7.5923121868835	46.4121686109499	3.8114225317693e-16	4.82991933053654e-13	27.237783573618
"259887_at"	4.18795045633821	9.06822753994169	46.0406104270093	4.24037723017856e-16	4.94356455303542e-13	27.1428134194867
"245082_at"	7.35991962412602	8.47286093000826	45.9644430629211	4.33455901186797e-16	4.94356455303542e-13	27.1232194173791
"265723_at"	7.60380083611969	7.41455780906711	45.6299750699545	4.77556597980323e-16	4.9681134306159e-13	27.0366662877443
"260399_at"	6.9761541305175	9.1030689354192	45.618381624285	4.79169204180402e-16	4.9681134306159e-13	27.0336511257371
"260023_at"	5.53125825663052	9.08197661824722	45.3908330860944	5.12034176676979e-16	5.07804329130517e-13	26.9742660742317
"247137_at"	5.29738968490796	9.42517239451451	44.3346599418694	6.99708655425217e-16	6.6501476792705e-13	26.6934171898159
"247047_at"	5.42350517748603	8.32149529168282	42.5819763851765	1.19445661070931e-15	1.07524129402247e-12	26.2076058188385
"266821_at"	7.74322104905817	7.63476366767023	42.4993275911238	1.22561480248068e-15	1.07524129402247e-12	26.1840629546084
"247493_at"	5.81701541886174	10.0118620349972	42.264676689454	1.31893401442924e-15	1.07747575428208e-12	26.1169009373663
"245119_at"	6.73790606055505	8.17741475211	42.1507023707098	1.36699045739188e-15	1.07747575428208e-12	26.084106859074
"247208_at"	7.16291563165073	8.3447288595448	42.0827898907014	1.39651712614178e-15	1.07747575428208e-12	26.0645123817825
"245755_at"	7.46682376126748	7.87941931698191	42.036333044034	1.41710971628507e-15	1.07747575428208e-12	26.0510851497628
"256177_at"	6.61466208312301	6.94685396449222	41.8368365535399	1.50932159766714e-15	1.11056856912218e-12	25.9932097838879
"246777_at"	7.16483489332369	8.48235572424167	40.7077446744253	2.16871405655381e-15	1.50320012266111e-12	25.6589202485919
"261474_at"	7.38815858177141	7.71231344775636	40.6992317200372	2.17473055886965e-15	1.50320012266111e-12	25.65635548371
"257919_at"	7.09200313066521	7.07955025673401	40.4918367459936	2.32698768611953e-15	1.56113497412901e-12	25.5936627485353
"249896_at"	5.71040117587186	6.70953200199535	40.3854867967156	2.40947163458697e-15	1.57028708528368e-12	25.5613579097547
"251336_at"	6.71070250975718	7.88718175568965	40.2674630078532	2.50470216695391e-15	1.58700712300607e-12	25.5253818660384
"265737_at"	5.25244746023013	9.73123940294362	40.079955881188	2.66441129137016e-15	1.63087564750078e-12	25.4679534033932
"259879_at"	6.92267001609997	8.18986660045698	40.0209186402005	2.71693444125513e-15	1.63087564750078e-12	25.4498022416745
"261470_at"	5.8166098237971	8.29352758160826	39.8968487987639	2.83097540039115e-15	1.65575766366467e-12	25.4115473424246
"259439_at"	5.80964589271891	8.14746711331457	39.7537156385106	2.9689630104785e-15	1.65665977918462e-12	25.3672296684338
"254784_at"	4.81991813204739	11.4519756707298	39.7448189651285	2.97777514013895e-15	1.65665977918462e-12	25.36446846412
"260046_at"	6.75802999525288	8.04653185960309	39.6393732778318	3.08438608628692e-15	1.67511539590964e-12	25.331683173929
"250493_at"	4.54943795361578	7.09307319482093	39.5118288342743	3.21885008921815e-15	1.69993018575999e-12	25.2918814962638
"253632_at"	6.0304957664699	7.71024950670222	39.4564985367636	3.27912881076016e-15	1.69993018575999e-12	25.2745653169175
"253066_at"	6.59148344471033	8.55990287629293	39.2384579944826	3.5287447162992e-15	1.78868148841744e-12	25.2060324726451
"265184_at"	4.9265969710046	8.79529033897335	39.0740861905621	3.73039562280718e-15	1.83171827627383e-12	25.1540553091088
"254897_at"	4.34422926464044	6.32095261386837	39.0395993984865	3.77425510674572e-15	1.83171827627383e-12	25.1431156166394
"253643_at"	7.00784112732105	8.96675446499752	38.8622563431504	4.00871811014266e-15	1.90497625192404e-12	25.0866704640995
"265725_at"	7.81708111211202	9.01798226307068	38.7499529848758	4.16525244469346e-15	1.90678671634926e-12	25.0507614027609
"258947_at"	7.59330033246255	7.57723468607053	38.7145304990891	4.21597860487877e-15	1.90678671634926e-12	25.0394083799027
"245840_at"	5.84486341873853	7.59789094357729	38.6818884759993	4.26331093966735e-15	1.90678671634926e-12	25.0289351511639
"260206_at"	4.25506150867403	8.44147548026893	38.2600199459018	4.92918936132946e-15	2.16220787176779e-12	24.8925906500272
"250149_at"	5.28307809156122	8.86002813365107	38.2013581948536	5.03029925452389e-15	2.16492690557906e-12	24.8734852693335
"249312_at"	4.4970361651988	6.60626627352599	38.065387254714	5.27332974711699e-15	2.19021543701868e-12	24.8290624863829
"263783_at"	7.07554556529414	8.86478249531528	38.0611527013728	5.28109816028177e-15	2.19021543701868e-12	24.827675900622
"253485_at"	6.46644552184945	10.0265424679769	37.8883593728364	5.60881974001943e-15	2.25300788126817e-12	24.7709337346114
"252592_at"	4.39645601959511	11.630607276169	37.8775419460662	5.63005038282709e-15	2.25300788126817e-12	24.7673709547135
"262731_at"	5.24457938798041	6.02954863157384	37.6656124830745	6.06388830379963e-15	2.38478090016672e-12	24.6973188000697
"260401_at"	4.93237234069694	11.0287828341146	37.551919786176	6.31131374012506e-15	2.44001807478394e-12	24.6595395696359
"253696_at"	5.79051455783502	8.28693471866533	37.3906253082935	6.68111900727932e-15	2.53993874260069e-12	24.6057026454721
"247707_at"	4.731891661655	8.6128727788191	37.111787349366	7.37646771768761e-15	2.758315223614e-12	24.5119619342782
"252131_at"	7.96638738741825	9.24240803721799	36.8455880217923	8.11326691234988e-15	2.98489706888227e-12	24.4216686385256
"256044_at"	5.07816438192972	6.61928234418581	36.6440782839067	8.72349879270893e-15	3.14023043365869e-12	24.3527905565749
"262383_at"	4.48669502500918	8.96082409324563	36.6164876544919	8.81081752539044e-15	3.14023043365869e-12	24.3433241518438
"248230_at"	4.28146229453241	8.6591709845752	36.5446982705835	9.04244647320408e-15	3.173203139289e-12	24.31865262206
"260804_at"	6.59964894684011	7.10457046836653	36.3685885095192	9.63883499672878e-15	3.18915879281313e-12	24.2578811938801
"253999_at"	5.9341888235664	7.78670724064367	36.2764885470952	9.9674373471828e-15	3.18915879281313e-12	24.2259581508604
"246631_at"	4.15070576028928	10.0783343795766	36.267867131957	9.99880792385749e-15	3.18915879281313e-12	24.2229648602108
"253796_at"	6.0101235077758	8.07950858102628	36.2568713390403	1.00389720874971e-14	3.18915879281313e-12	24.2191459599754
"257751_at"	4.60051032526377	9.50532047657599	36.2437486342256	1.00871321609972e-14	3.18915879281313e-12	24.2145865459036
"256526_at"	6.66639608986337	8.98553319835499	36.2337973853625	1.01238185008132e-14	3.18915879281313e-12	24.2111277122487
"262360_at"	4.02729622762098	9.38627008540786	36.1675018230753	1.037191224667e-14	3.18915879281313e-12	24.1880556278868
"264866_at"	6.44773767275612	7.2005238793291	36.1179343555443	1.05616701764459e-14	3.18915879281313e-12	24.1707719664229
"249417_at"	6.04198877238942	7.76649399145434	36.0681788621592	1.07559036981914e-14	3.18915879281313e-12	24.1533940381031
"255884_at"	5.64173074034657	7.54202380594271	36.0522398679813	1.08189344477814e-14	3.18915879281313e-12	24.1478209870882
"254231_at"	5.83627580280141	8.36027146594983	36.0452344845257	1.08467626498696e-14	3.18915879281313e-12	24.1453706262153
"249094_at"	4.2485738279692	8.1330785724885	36.0012916668632	1.10230845539955e-14	3.18915879281313e-12	24.1299871352138
"261063_at"	5.27695323200288	7.3238843129332	35.9777760588968	1.1118704234447e-14	3.18915879281313e-12	24.1217455311385
"260296_at"	4.41366900439235	8.23650898595264	35.9774741543531	1.11199376231239e-14	3.18915879281313e-12	24.1216396794623
"261033_at"	6.86919351178928	8.3706465713555	35.9615687795189	1.11851250953551e-14	3.18915879281313e-12	24.1160615388368
"246821_at"	7.08524684247362	9.06028855238201	35.9214369788394	1.1351435114684e-14	3.19662018476471e-12	24.1019738268855
"260068_at"	6.03721054248495	7.1286531022971	35.8700029437603	1.15684770161994e-14	3.21801171633548e-12	24.0838909860535
"248719_at"	4.13693728443851	10.1521515359236	35.7622694317815	1.20376765118782e-14	3.30818555705954e-12	24.0459137771119
"251507_at"	4.12583488064643	8.34027071515244	35.4815447096899	1.33590399715078e-14	3.62761549702492e-12	23.946308366421
"252193_at"	5.26330298779176	9.81586924200906	34.8140977134162	1.71689590416132e-14	4.60537720221885e-12	23.7056642141614
"247393_at"	5.84022653523906	8.19027315427536	34.7844093443431	1.73635440329163e-14	4.60537720221885e-12	23.6948330493515
"247240_at"	5.29817769100721	7.90765199737143	34.5736977371224	1.88145662434783e-14	4.93287650590505e-12	23.617643146511
"251054_at"	5.26906501546889	8.7069741531501	34.5224365306298	1.91869208493539e-14	4.97333709742912e-12	23.5987803643489
"266658_at"	4.85324760811531	9.66654326267728	34.4803225753633	1.94987546165476e-14	4.99737744722977e-12	23.5832587175562
"260211_at"	6.10431444432701	8.53968969614689	34.4051617038956	2.00688950674896e-14	5.08634996099375e-12	23.5555014130408
"249903_at"	4.25855383639821	7.83338935289085	34.280113992878	2.10575182030334e-14	5.27826362869443e-12	23.5091615040232
"257846_at"	4.51825702284078	5.88983332590105	34.1397005414339	2.22303425670087e-14	5.51167515166813e-12	23.456889025305
"267381_at"	4.67832911271447	9.67939247249822	34.0889061710745	2.26717317110033e-14	5.53227195751047e-12	23.4379170678812
"259211_at"	5.45124086631001	7.32756733839848	34.0745151507852	2.27984903115294e-14	5.53227195751047e-12	23.4325358929264
"251169_at"	-3.94199218720135	5.77520358772544	-33.9613857100361	2.38218722227451e-14	5.68001407103528e-12	23.3901404489725
"253044_at"	5.63021302635112	7.82857964569651	33.9393085457534	2.40272796798037e-14	5.68001407103528e-12	23.3818476140257
"261476_at"	4.83408758943834	8.28497792628851	33.8625622764561	2.47562650082365e-14	5.68001407103528e-12	23.3529700157849
"248794_at"	5.83272489622678	9.15042734779693	33.8597884289454	2.47830537054086e-14	5.68001407103528e-12	23.3519248497813
"253284_at"	5.15781840350594	10.6164887220718	33.8309078065863	2.50638282137055e-14	5.68001407103528e-12	23.3410368556546
"263379_at"	5.30350113472946	9.99025939109154	33.8282929221729	2.50894180184822e-14	5.68001407103528e-12	23.3400505051238
"262072_at"	6.22768699846346	9.63100931781131	33.8220694718595	2.51504349484684e-14	5.68001407103528e-12	23.3377026209396
"256763_at"	3.87872529149783	7.16363184350555	33.6490557194079	2.6912166824244e-14	5.9730314677958e-12	23.2722269301314
"265841_at"	7.44169914185098	8.47521462408875	33.643432811176	2.69716019808403e-14	5.9730314677958e-12	23.2700923608363
"247104_at"	4.48402462041976	5.99140714139024	33.6156449010144	2.7267402494301e-14	5.98047548937505e-12	23.2595373645896
"253664_at"	3.76788386744528	10.724403315478	33.5690966431779	2.77707414666159e-14	6.03286297955722e-12	23.2418334757071
"257363_at"	5.34667724365409	7.34419483001582	33.4890502318776	2.86597928377682e-14	6.16726296820276e-12	23.2113217345572
"257053_at"	3.9779353255157	9.57925266888335	33.3160614888041	3.06872954593295e-14	6.54184307875986e-12	23.1450900685898
"254562_at"	4.23207781963951	7.64675373772922	33.2615960478451	3.13571301924321e-14	6.62274203416088e-12	23.1241537830532
"254158_at"	4.92142235484648	8.99131583960629	33.2343535914215	3.16980442310103e-14	6.63332466889307e-12	23.1136668660669
"264000_at"	4.66752656579902	10.7518657377524	33.199978762688	3.21339048878651e-14	6.66340336811093e-12	23.1004200257888
"263478_at"	4.15095906158067	10.3580144467609	32.962260289372	3.5330072538408e-14	7.26017076217195e-12	23.0083716055725
"256522_at"	5.34480727955935	8.02457542713087	32.8254278601146	3.7323335143629e-14	7.60129709487659e-12	22.9550364895049
"250335_at"	4.07728284594256	9.3410291413415	32.8025234770063	3.76686298056592e-14	7.60372960944323e-12	22.9460834528868
"258606_at"	6.28530379874552	7.00021800834659	32.7538607918342	3.84136852083496e-14	7.68610666317942e-12	22.9270376705889
"266749_at"	3.60633044430821	9.49405945514894	32.4754062374005	4.29930301393673e-14	8.39975312777288e-12	22.8174193773204
"247708_at"	4.86342924088512	10.1143451179897	32.4596608461528	4.32689187858222e-14	8.39975312777288e-12	22.8111884032206
"245041_at"	6.31088126814309	9.57938437437073	32.4258952156329	4.38669878413606e-14	8.39975312777288e-12	22.7978144072362
"260477_at"	4.90752256553794	8.93742607904145	32.4098163735921	4.41548972953793e-14	8.39975312777288e-12	22.7914401784563
"262085_at"	7.40532885837716	8.98172210863378	32.404900058698	4.42433339926697e-14	8.39975312777288e-12	22.789490444047
"255568_at"	4.85583235475919	8.0799304740406	32.3839573465059	4.46221970671882e-14	8.39975312777288e-12	22.7811810494328
"248123_at"	4.15573428575538	5.68985036517019	32.3680799155849	4.49117488010749e-14	8.39975312777288e-12	22.7748772480345
"258436_at"	5.97310279050911	8.55400016601127	32.3672825676407	4.49263429017225e-14	8.39975312777288e-12	22.7745605833419
"248392_at"	4.64306493485253	9.2911649296019	32.3243697032765	4.57193536248211e-14	8.47852403400137e-12	22.7575045176019
"248916_at"	3.85239658798616	6.07917740602781	32.2409568893628	4.73041294430616e-14	8.70167090803415e-12	22.7242763466299
"260411_at"	5.00384474205336	8.97433061507586	32.1550509935646	4.89981260196611e-14	8.91075912728807e-12	22.6899509911052
"256627_at"	4.68409626589916	8.04048565155641	32.1439331074189	4.92220802296491e-14	8.91075912728807e-12	22.6855008831274
"245738_at"	5.08843467508997	6.87214155662973	32.0417525119074	5.13326120140627e-14	9.21966047276197e-12	22.6445180923425
"259937_s_at"	4.47195200302819	7.77892251324103	31.9399915818492	5.35313710809317e-14	9.53945761215667e-12	22.6035534891314
"248726_at"	5.47938205249316	7.01645278769058	31.875408274776	5.49791537264764e-14	9.72150772481339e-12	22.5774768936082
"253573_at"	3.5329351678398	6.16480706443012	31.7972719613811	5.67872102977887e-14	9.89022407305169e-12	22.5458465794775
"259507_at"	6.13540174665625	9.40200906875542	31.7632414418514	5.7594539965024e-14	9.89022407305169e-12	22.5320427262907
"258682_at"	5.32794486705316	9.2571573465317	31.7607545682978	5.76540192089738e-14	9.89022407305169e-12	22.5310333047357
"248799_at"	5.14549086828985	6.8880563529502	31.760183750771	5.76676809169608e-14	9.89022407305169e-12	22.5308015971674
"251910_at"	4.59944290724991	8.41135927127068	31.6210088744263	6.11047287051872e-14	1.03401352848063e-11	22.4741640443328
"264008_at"	3.13064465951357	9.84184757702918	31.6173641243361	6.11976441669818e-14	1.03401352848063e-11	22.4726769567936
"248327_at"	7.52692883488338	8.67196294926215	31.5024172028858	6.42072485575255e-14	1.07688774970379e-11	22.425676420311
"255599_at"	4.90205130528097	8.08893358544595	31.3876881572823	6.7370226411345e-14	1.12168968207502e-11	22.3785683451664
"252278_at"	4.56899237027898	10.1814666349991	31.2393283204005	7.17107625727163e-14	1.18530615527801e-11	22.3173579793395
"253259_at"	5.76168557975796	6.79537125806827	31.0410893710175	7.79855027125951e-14	1.27371213431281e-11	22.235047345748
"261899_at"	5.47510264850279	7.42181773046589	31.0353386825575	7.81761064462052e-14	1.27371213431281e-11	22.2326506485934
"254242_at"	5.70125582012576	7.60639072730097	31.0056683122904	7.91674984156405e-14	1.28071676514947e-11	22.2202769549502
"254014_at"	3.40679645133752	5.71428508230342	30.9289038045051	8.17956732778966e-14	1.31391500525973e-11	22.1882003632563
"255753_at"	5.45991229254697	8.24637645150078	30.8277776403608	8.54018677769113e-14	1.36224937342052e-11	22.1458052042155
"245369_at"	5.75146210967327	7.74638010726066	30.7670805055084	8.764806619112e-14	1.38066198830485e-11	22.12028293833
"261450_s_at"	6.51625444020826	6.5913167404379	30.7639196524292	8.77667638334953e-14	1.38066198830485e-11	22.1189522747352
"266396_at"	4.46940684589198	7.63019727462649	30.6923197045058	9.05022880072068e-14	1.41394328044136e-11	22.0887681899858
"246485_at"	3.79215521641465	6.10707079351746	30.6494134548435	9.21853186890104e-14	1.42510251805282e-11	22.0706419626959
"267393_at"	4.92838206269751	8.6391138679838	30.642337329014	9.24660993738785e-14	1.42510251805282e-11	22.067649801184
"246289_at"	3.33753710721517	10.7094279692708	30.5947974601603	9.43764589517945e-14	1.44045472247962e-11	22.0475270279852
"267140_at"	3.47919336980301	6.24190736593019	30.5862302584399	9.4725211912294e-14	1.44045472247962e-11	22.0438969050067
"262772_at"	4.27976656668761	8.91745715284024	30.5480497218986	9.62963776979853e-14	1.45464925515963e-11	22.0277048590061
"255502_at"	3.64753544398208	9.88470250242478	30.4306156926808	1.01306870043615e-13	1.51843439559295e-11	21.9777576123389
"250435_at"	4.78682059510307	8.56071386886527	30.4182561743718	1.01850268533854e-13	1.51843439559295e-11	21.9724881169909
"252906_at"	4.1731107877164	10.2938205612761	30.3247944915754	1.06062154306262e-13	1.56129752991773e-11	21.9325618239669
"252009_at"	4.03438554603446	10.3767998547019	30.3240964188134	1.06094308258329e-13	1.56129752991773e-11	21.9322630865252
"257511_at"	6.58887446590594	6.8598931606716	30.2350399383946	1.10283474500769e-13	1.61254234189906e-11	21.8940876721176
"257022_at"	4.68409058234885	7.6160110563903	30.0758144481514	1.18222663029607e-13	1.71761716159576e-11	21.8255148768091
"251774_at"	5.2954161487358	7.19620928770472	30.0197234235744	1.21163845651411e-13	1.74920716411943e-11	21.8012605944548
