"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"248322_at"	8.86742161301953	7.76593399244487	59.6957301541016	1.34534498617299e-17	2.16822067736009e-13	30.1112757871663
"267623_at"	5.85124074703236	9.03383627476127	57.3875270046454	2.27280953720499e-17	2.16822067736009e-13	29.6843732322231
"249264_s_at"	7.0220281660856	8.26082815990481	56.2580193733791	2.96030023012858e-17	2.16822067736009e-13	29.4661838618281
"247071_at"	7.93434206161096	7.56073977553578	54.8157720792881	4.18077201536117e-17	2.16822067736009e-13	29.1782032565773
"254948_at"	5.95713683782351	8.11217144502586	54.170871551402	4.89286998969521e-17	2.16822067736009e-13	29.045899655401
"245329_at"	7.3084561852845	9.68479915279558	53.0286975273224	6.4944769920907e-17	2.16822067736009e-13	28.8060124481851
"264758_at"	7.45309867398608	8.75187936744159	52.2891335410163	7.82678117737891e-17	2.16822067736009e-13	28.6467722680704
"261065_at"	5.82309200578821	7.05228781698191	51.8895356125588	8.66650051087112e-17	2.16822067736009e-13	28.5594169463538
"256306_at"	8.24994733087625	8.75752499936482	51.6835375507053	9.13677191352561e-17	2.16822067736009e-13	28.5140176518228
"249197_at"	7.84561845937377	7.15824984615525	51.5298062526788	9.50557070302538e-17	2.16822067736009e-13	28.4799732974057
"250796_at"	6.28373084960203	8.4532998123566	50.7977195863535	1.14952984848769e-16	2.2086585243368e-13	28.3159009641685
"258653_at"	7.34152323687254	7.77810306227244	50.7566597645399	1.16194223112852e-16	2.2086585243368e-13	28.3066022830956
"265597_at"	7.208746505676	7.8735462715047	50.1387502291346	1.36720054987757e-16	2.2132105720687e-13	28.1654066256012
"263800_at"	5.59010192304459	9.41436879894171	50.0385534685079	1.4040068678772e-16	2.2132105720687e-13	28.1422863818507
"249896_at"	7.05618309587729	6.70953200199535	49.9032170380308	1.45542124423632e-16	2.2132105720687e-13	28.1109570699849
"256833_at"	7.8129728274754	8.543618606105	49.555151969839	1.59717718724069e-16	2.21864620390309e-13	28.0298475622817
"256633_at"	5.61182258010289	8.11834389666337	49.425917089005	1.65352851671865e-16	2.21864620390309e-13	27.9995342460927
