"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"251017_at"	2.32774987431353	9.92921263658312	16.5208130249741	2.85392122677048e-10	6.27788187666947e-06	13.0838975302794
"258332_at"	2.58194380764734	9.21209092413427	14.9649626249325	1.00283259182935e-09	6.27788187666947e-06	12.1028510065065
"264958_at"	2.80804229997901	5.15650189334306	14.9517137987361	1.01412581257819e-09	6.27788187666947e-06	12.0938912252207
"267019_at"	1.98127368842211	8.42648694048467	14.6971373821628	1.25979035610922e-09	6.27788187666947e-06	11.9196050237159
"257635_at"	-2.24905377881461	4.90158033893586	-14.5945903104537	1.37612491816516e-09	6.27788187666947e-06	11.8482432875075
"246485_at"	1.73111180771619	6.10707079351746	13.9914002732776	2.34022510058292e-09	8.5228809262278e-06	11.4145449620579
"247577_at"	2.44183321401364	7.53971121724498	13.7740340746423	2.8478199199341e-09	8.5228809262278e-06	11.2522067113067
"263183_at"	2.14568503735234	8.17697142994793	13.6453213094076	3.20298160088176e-09	8.5228809262278e-06	11.1545121291141
"256469_at"	1.86502252395433	7.99544598361039	13.5922986719479	3.36282018132618e-09	8.5228809262278e-06	11.1139232147984
"266265_at"	1.72858578122954	9.77714091507922	13.2670209378364	4.55036619564584e-09	1.03793852922682e-05	10.8604420505589
"247196_at"	1.67568182664051	4.67670756848502	13.1471931610437	5.09492739422729e-09	1.05650267147568e-05	10.7650833758225
"256621_at"	2.14266924026613	6.0674331527297	12.3449395360402	1.1120369299417e-08	2.11379686433085e-05	10.0978249527736
"256022_at"	1.58175493586296	9.78731770563284	12.2583129819165	1.2129423479755e-08	2.12824730440931e-05	10.0226539602549
"255957_at"	2.28249477973108	7.57686834563178	12.0852757205551	1.44500517705283e-08	2.35432629204107e-05	9.87060108584912
"266324_at"	1.60000325479709	7.9584491874339	11.7827986078673	1.97244418517691e-08	2.90184141200523e-05	9.59859286754971
"264524_at"	2.94646000715551	6.91677107610948	11.7346153032354	2.07395467203208e-08	2.90184141200523e-05	9.5545180857881
"264433_at"	2.26362708187447	4.66621204032788	11.6076869053586	2.3690376645207e-08	2.90184141200523e-05	9.43741394239841
"251229_at"	2.69763065221475	5.22078622547676	11.5987061881831	2.39155039118946e-08	2.90184141200523e-05	9.42907308574427
"256899_at"	1.26754588406269	7.17864794106567	11.5442011429833	2.53317836139046e-08	2.90184141200523e-05	9.37829362124396
"256789_at"	2.35835465204783	7.02586099153244	11.5308580041814	2.56919739412515e-08	2.90184141200523e-05	9.36582111229378
"259507_at"	2.20972119977359	9.40200906875542	11.4398226694508	2.83002085321867e-08	2.90184141200523e-05	9.28028834676253
"249996_at"	-1.57193812664911	8.91093577374123	-11.4102309247086	2.92078192685745e-08	2.90184141200523e-05	9.25232005962696
"256927_at"	1.72408710066445	7.3195584817448	11.3910171731822	2.98137349084003e-08	2.90184141200523e-05	9.23411677145524
"265305_at"	1.71048494882413	7.2770336886252	11.3687643808808	3.05323077107083e-08	2.90184141200523e-05	9.21299120559966
"255726_at"	1.13731120856325	7.19477717475765	10.8546640435884	5.3514937258079e-08	4.75354477350326e-05	8.71177677981843
"256529_at"	1.34073258907811	6.75704070302627	10.8435111589969	5.41833249062186e-08	4.75354477350326e-05	8.70061780488168
"251063_at"	1.40683239408016	6.20485620909791	10.7113737823525	6.28169448263371e-08	5.30686856106944e-05	8.56746077181521
"246524_at"	1.43998409723227	6.8525507712775	10.6556757723946	6.68858892089547e-08	5.37801193151499e-05	8.51080527061712
"245276_at"	1.09126425354917	7.54131532881942	10.6361963697272	6.83745488881784e-08	5.37801193151499e-05	8.49091653137548
"254657_s_at"	1.13478924625193	7.69390779908511	10.0595349940849	1.33180360973552e-07	0.000101261467793557	7.88419682598942
"247182_at"	1.07547942594749	7.97796164486732	9.95709778701822	1.50396448843735e-07	0.00011066267735889	7.77268836944596
"248230_at"	1.16223069283427	8.6591709845752	9.92029523293473	1.57148265815887e-07	0.000112017248226887	7.7323441158922
"259329_at"	1.90508132542497	6.10937386484343	9.86823408487313	1.67256584916005e-07	0.000115609778846487	7.67501574040993
"256857_at"	1.97651208752176	5.9298667954664	9.74887398696656	1.93141321278699e-07	0.000128909144568646	7.54243312625239
"262967_at"	1.7100447162478	6.61046006996233	9.71479600045863	2.01291496536435e-07	0.000128909144568646	7.50428472420799
"250796_at"	1.20064361868054	8.4532998123566	9.70601054129196	2.03451521458626e-07	0.000128909144568646	7.49442849162827
"248037_at"	1.92482177208461	9.36320483766995	9.68274146518345	2.09292724650582e-07	0.000129026136467021	7.46828087713502
