source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
LBD6	HSP23.5	L	32.9515	-4.3172	-0.131	5	-32.7544	-1.5357	0.8148
LBD6	AT4G19430	L	44.075	-5.4875	-0.1245	5	-31.1261	-1.4055	0.8385
LBD6	CPN60B2	L	155.1586	-14.9512	-0.0964	5	-24.0902	-0.9484	0.8556
LBD6	AT2G30480	L	1.6724	-0.158	-0.0944	5	-23.6124	-0.9221	0.847
LBD6	AT3G14240	L	35.1276	-3.2439	-0.0923	5	-23.0863	-0.8936	0.9018
LBD6	NPF1.2	L	41.2703	-3.0237	-0.0733	5	-18.3165	-0.6582	0.8048
LBD6	AT3G46920	L	1.3515	-0.0961	-0.0711	5	-17.7716	-0.6336	0.9135
LBD6	ATNFXL2	L	9.7737	-0.6488	-0.0664	5	-16.5943	-0.5818	0.8136
LBD6	BON1	L	3.8755	-0.1726	-0.0445	1.8151	-11.1371	-1.3718	0.8111
LBD6	AVPL1	L	16.8749	-0.5362	-0.0318	2.0679	-7.9435	-0.6993	0.8726
LBD6	AT3G01490	L	8.4852	-0.2013	-0.0237	1.2673	-5.9305	-0.9104	0.8051
LBD6	PFP-ALPHA1	E	22.6646	0.4666	0.0206	0.4501	5.1471	1.1	0.8561
LBD6	AT5G02240	E	58.4996	1.8288	0.0313	1.014	7.8156	0.8244	0.905
LBD6	AT5G48680	E	11.9497	0.3759	0.0315	1.8423	7.8633	0.5128	0.8836
LBD6	TBL9	L	2.6929	0.1023	0.038	1.0247	9.5016	0.9465	0.8508
LBD6	AT1G17330	L	2.9804	0.1137	0.0382	0.2628	9.5379	2.2108	0.8074
LBD6	TAF14B	E	8.2326	0.3718	0.0452	1.1682	11.289	0.9755	0.8151
LBD6	PCMP-E13	E	1.0238	0.0476	0.0465	1.1864	11.6302	0.9857	0.8126
LBD6	PAB2	E	28.2192	1.4586	0.0517	2.6601	12.922	0.5712	0.837
LBD6	UEV1D	E	73.6546	4.3778	0.0594	2.8758	14.8591	0.6009	0.8155
LBD6	AT5G42330	L	3.1039	0.1846	0.0595	3.1608	14.8701	0.5563	0.8962
